Time SB_juv_0_Migrating_Biomass(tonnes) SB_juv_0_Total_biomass(tonnes) SB_juv_0_Prop_Migrating SB_ad_0_Migrating_Biomass(tonnes) SB_ad_0_Total_biomass(tonnes) SB_ad_0_Prop_Migrating WHB_juv_0_Migrating_Biomass(tonnes) WHB_juv_0_Total_biomass(tonnes) WHB_juv_0_Prop_Migrating WHB_ad_0_Migrating_Biomass(tonnes) WHB_ad_0_Total_biomass(tonnes) WHB_ad_0_Prop_Migrating
7.700000e+01 0.000000e+00 1.085337e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.800000e+01 0.000000e+00 1.085382e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.900000e+01 0.000000e+00 1.085426e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.000000e+01 0.000000e+00 1.085471e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.100000e+01 0.000000e+00 1.085516e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.200000e+01 0.000000e+00 1.085562e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.300000e+01 0.000000e+00 1.085608e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.400000e+01 0.000000e+00 1.085653e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.500000e+01 0.000000e+00 1.085699e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.600000e+01 0.000000e+00 1.085745e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.700000e+01 0.000000e+00 1.085791e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.800000e+01 0.000000e+00 1.085836e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
8.900000e+01 0.000000e+00 1.085882e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
